"","name","type","lon","lat","address","zip"
"70","Basel - Drachen-Center","mm",7.5928077,47.5528056,"Aeschenvorstadt 24","4051"
"71","Basel - Dreispitz MParc","fm",7.6038713,47.5393434,"Münchensteinerstrasse 200","4053"
"72","Basel - Efringer","mm",7.5965886,47.5691589,"Efringerstrasse 32","4057"
"73","Basel - Eglisee","m",7.6152494,47.5701213,"Riehenstrasse 315","4058"
"74","Basel - Flughafenstrasse","shell",7.5695768,47.5694998,"Flughafenstrasse 100","4056"
"75","Basel - Gundelitor","mm",7.5922222,47.5435146,"Güterstrasse 180","4053"
"76","Basel - Hardstrasse","m",7.60725,47.5493666,"Hardstrasse 105","4052"
"77","Basel - Inselstrasse","dmp",7.5906325,47.577495,"Inselstrasse 63","4057"
"78","Basel - Juniors Market","m",7.6017522,47.5585931,"Grenzacherstrasse 62/64","4058"
"79","Basel - Lachenstrasse","dmp",7.5697693,47.568176,"Lachenstrasse 1","4056"
"80","Basel - Lehenmatt","dmp",7.620699,47.5471518,"Lehenmattstrasse 260","4052"
"81","Basel - Märtplatz","m",7.5877372,47.5592591,"Eisengasse 12","4051"
"82","Basel - Mülhauser","m",7.5796836,47.5685421,"Mülhauserstrasse 70-72","4056"
"83","Basel - Neuweiler","m",7.5642044,47.5469569,"Neuweilerplatz 7","4054"
"84","Basel - Schützenmatt","m",7.581231,47.555886,"Schützenmattstrasse 27","4051"
"85","Basel - Stücki","m",7.5957171,47.579952,"Hochbergerstrasse 70","4057"
"86","Basel - Wanderstrasse","dmp",7.564058,47.5524703,"Wanderstrasse 121","4054"
"87","Basel - Wasgenring","dmp",7.5647563,47.5612305,"Blotzheimerstrasse 61","4055"
"88","Basel - Zürcherstrasse","dmp",7.6150933,47.55512,"Zürcherstrasse 160","4052"
"89","Basel Hochbergstrasse","mgls",7.5942316,47.580954,"Hochbergstrasse 106","4057"
"90","Basel Weil","mgls",7.60347,47.593856,"Autobahn Raststätte A2/A5","4016"
"91","Bassersdorf","mm",8.6298002,47.4422909,"Baltenswilerstrasse 5a","8303"
"92","Bauma","m",8.8775133,47.3681049,"Heinrich - Gujerstrasse 10","8494"
"93","Bavois-Alpes","shell",6.570611,46.6739849,"Restoroute de Bavois","1372"
"94","Bavois-Jura","shell",6.5693753,46.6736156,"Restoroute de Bavois","1372"
"95","Bazenheid","m",9.0682158,47.4126848,"Wilerstrasse 17","9602"
"96","Belfaux","m",7.1131443,46.8259234,"route de Lossy 16b","1782"
"97","Bellinzona","shell",9.0395113,46.2139534,"Autostrada Nord","6500"
"98","Bellinzona","soca",9.0289299,46.1991221,"Via San Gottardo","6500"
"99","Bellinzona - Piazza del Sole","mm",9.0243305,46.1937973,"Piazza Rinaldo Simen 8","6500"
"100","Bellinzona Outlet","spez",9.013277,46.1861062,"Via Franco Zorzi","6500"
"101","Bellinzona-Nord","pica",9.0382178,46.2065522,"Via San Gottardo 104","6500"
"102","Belp","mm",7.4926529,46.8964728,"Steinbachstrasse 28","3123"
"103","Berikon - Mutschellen","m",8.3664932,47.3631663,"Bellikerstrasse 13","8965"
"104","Beringen","m",8.5838803,47.6963713,"Schaffhauserstrasse 72","8222"
"105","Bern - Bachmätteli","mm",7.3900576,46.9392241,"Bottigenstrasse 7","3018"
"106","Bern - Bahnhof","mm",7.4401642,46.949378,"Bahnhofplatz 10","3011"
"107","Bern - Bahnhof Take Away","mr",7.4395076,46.9488819,"Bahnhofplatz 10","3011"
"108","Bern - Bethlehem","mm",7.3832855,46.9475326,"Riedbachstrasse 10","3027"
"109","Bern - Breitenrain","m",7.4532328,46.9580156,"Breitenrainstrasse 11","3013"
"110","Bern - Bubenberg","mm",7.4379673,46.9474381,"Bubenbergplatz 8","3011"
"111","Bern - Bümpliz","soca",7.3965641,46.9488786,"Bümplizstrasse 8","3027"
"112","Bern - Christoffel","m",7.4401581,46.9475739,"Christoffelunterführung","3011"
"113","Bern - Egghölzli","m",7.475067,46.9368899,"Egghölzlistrasse 1 / 1a","3006"
"114","Bern - Egghölzli","mgls",7.4751852,46.9368988,"Egghölzlistrasse 1","3006"
"115","Bern - Eigerplatz","m",7.4320705,46.9399808,"Seftigenstrasse 1","3007"
"116","Bern - Fellerstrasse","mgls",7.384876,46.9464,"Fellerstrasse 33","3027"
"117","Bern - Freudenberg","mm",7.4727611,46.9454091,"Giacomettistrasse 15","3006"
"118","Bern - Kirchenfeld","m",7.4531633,46.9421839,"Thunstrasse 18","3005"
"119","Bern - Lorraine","m",7.4465984,46.9559292,"Dammweg 9","3013"
"120","Bern - Marktgasse","mmm",7.4448371,46.9482654,"Marktgasse 46","3011"
"121","Bern - Marktgasse Fachmarkt","fm",7.445796,46.9481395,"Marktgasse 28-32","3011"
"122","Bern - Murifeld","m",7.4811263,46.9395518,"Jupiterstrasse 15","3015"
"123","Bern - Stöckacker","m",7.3992866,46.944202,"Bethlehemstrasse 110","3018"
"124","Bern - Wankdorf","mgls",7.4659375,46.9658677,"Winkelriedstrasse 10","3014"
"125","Bern - Wankdorf MParc","fm",7.4589773,46.9654266,"Wankdorffeldstrasse 90","3014"
"126","Bern - Welle 7","m",7.4369117,46.9480604,"Schanzenstrasse 5","3000"
"127","Bern - Westside","mm",7.3743954,46.9455311,"Gilberte-de-Courgenay-Platz 4","3027"
"128","Bern - Westside","mgls",7.3706941,46.9433611,"Riedbachstrasse 104","3027"
"129","Bern - Winkelried","mm",7.4639574,46.9658664,"Wankdorffeldstrasse 71","3014"
"130","Bern - Zähringer","mm",7.4336574,46.9553183,"Zähringerstrasse 43","3012"
"131","Bern Westflügel","m",7.3953525,46.9467745,"Bethlehemstrasse 40","3027"
"132","Bex","m",7.015988,46.2504679,"Rue Centrale 43-45","1880"
"133","Biasca","m",8.9721457,46.3535809,"Via General Guisan 26","6710"
"134","Biasca","pica",8.969252,46.3587333,"Via Gen. Guisan 2","6710"
"135","Biberist","m",7.5617677,47.1831041,"Hauptstrasse 21","4562"
"136","Biberist","soca",7.5532515,47.1898607,"Holzackerstrasse 1","4562"
"137","Biel - Bielerhof","mm",7.2440832,47.1349461,"Bahnhofstrasse 15","2502"
"138","Biel - Bözingen","m",7.2671886,47.1518033,"Schlösslistrasse 7","2504"
"139","Biel - Madretsch","mm",7.2523976,47.1320095,"Brüggstrasse 5","2503"
"140","Biel - Neumarkt","mm",7.2474512,47.1407132,"Kanalgasse 36-38","2502"
"141","Biel Stadion","m",7.2822405,47.1559201,"Sportallee 20","2503"
"142","Binningen","mig",7.5719652,47.5377117,"Hauptstrasse 129","4102"
"143","Binningen - Gorenmatt","mm",7.5729746,47.5324671,"Gorenmattstrasse 17","4102"
"144","Binningen - Zentrum","m",7.5742852,47.5412885,"Hauptstrasse 71","4102"
"145","Bioggio","pica",8.9123616,46.0164899,"Strada Regina 23","6934"
"146","Birmensdorf","m",8.4367541,47.3541611,"Zürcherstrasse 15","8903"
"147","Birmensdorf","shell",8.4297103,47.3654476,"Industriestrasse 1","8903"
"148","Birsfelden","mm",7.6242615,47.5554924,"Chrischonastrasse 2","4127"
"149","Birsfelden","mgls",7.6255831,47.5497163,"Rheinfelderstr. 10","4127"
