"","name","type","lon","lat","address","zip"
"74","Berikon - Mutschellen","m",8.3664932,47.3631663,"Bellikerstrasse 13","8965"
"75","Beringen","m",8.5838803,47.6963713,"Schaffhauserstrasse 72","8222"
"76","Bern - Bachmätteli","mm",7.3900576,46.9392241,"Bottigenstrasse 7","3018"
"77","Bern - Bahnhof","mm",7.4401642,46.949378,"Bahnhofplatz 10","3011"
"78","Bern - Bethlehem","mm",7.3832855,46.9475326,"Riedbachstrasse 10","3027"
"79","Bern - Breitenrain","m",7.4532328,46.9580156,"Breitenrainstrasse 11","3013"
"80","Bern - Bubenberg","mm",7.4379673,46.9474381,"Bubenbergplatz 8","3011"
"81","Bern - Bümpliz","soca",7.3965641,46.9488786,"Bümplizstrasse 8","3027"
"82","Bern - Christoffel","m",7.4401581,46.9475739,"Christoffelunterführung","3011"
"83","Bern - Egghölzli","m",7.475067,46.9368899,"Egghölzlistrasse 1 / 1a","3006"
"84","Bern - Egghölzli","mgls",7.4751852,46.9368988,"Egghölzlistrasse 1","3006"
"85","Bern - Eigerplatz","m",7.4320705,46.9399808,"Seftigenstrasse 1","3007"
"86","Bern - Fellerstrasse","mgls",7.384876,46.9464,"Fellerstrasse 33","3027"
"87","Bern - Freudenberg","mm",7.4727611,46.9454091,"Giacomettistrasse 15","3006"
"88","Bern - Kirchenfeld","m",7.4531633,46.9421839,"Thunstrasse 18","3005"
"89","Bern - Lorraine","m",7.4465984,46.9559292,"Dammweg 9","3013"
"90","Bern - Marktgasse","mmm",7.4448371,46.9482654,"Marktgasse 46","3011"
"91","Bern - Murifeld","m",7.4811263,46.9395518,"Jupiterstrasse 15","3015"
"92","Bern - Stöckacker","m",7.3992866,46.944202,"Bethlehemstrasse 110","3018"
"93","Bern - Wankdorf","mgls",7.4659375,46.9658677,"Winkelriedstrasse 10","3014"
"94","Bern - Welle 7","m",7.4369117,46.9480604,"Schanzenstrasse 5","3000"
"95","Bern - Westside","mm",7.3743954,46.9455311,"Gilberte-de-Courgenay-Platz 4","3027"
"96","Bern - Westside","mgls",7.3706941,46.9433611,"Riedbachstrasse 104","3027"
"97","Bern - Winkelried","mm",7.4639574,46.9658664,"Wankdorffeldstrasse 71","3014"
"98","Bern - Zähringer","mm",7.4336574,46.9553183,"Zähringerstrasse 43","3012"
